Product Name,SKU,Price,Product Description
Light Training Set A,LTS_001RED,590,Well known price winner from ReiterWelt. Light aluminium training jump. Distinguished by their light yet very stable aluminium construction. Perfect for beginners.
Light Training Set 2,LTS_002RED,475,"Light aluminium training jump set. Includes 2x Alu Light Stand, 3x heartwood poles, 6x tournament cups."
Light Training Set 1,LTS_001RED,475,"Aluminium training jump set with 2x Alu Light Stand, 3x heartwood poles, 6x tournament cups."
Training Set 1,TS_000RED,305,"Single aluminium training jump including 2x Alu Single Stand, 3x heartwood poles, 6x tournament cups, 2x marker flags."
"Alu Training Wings ""Type C"" (2)",ALW_001RED,330,Budget-friendly aluminium training wings. Lightweight construction with double powder coating.
"Alu Training Wings ""Type B"" (2)",ALV_001RED,330,Competitive price aluminium double standards. Functional and straightforward design.
"Alu Training Wings ""Type A"" (2)",ALL_001RED,330,Entry-level aluminium double standards. Lightweight and easy to transport.
Aluminium Single Standards (2),ALL_002RED,200,Basic aluminium standards for training. Available in multiple heights and colors.
Unicorn Show Jump Set 1,TJS_511PLA,1150,"Complete show jump set with custom stands, poles, and decorative elements."
Unicorn Show Jump Set 2,TJS_511FIL,1195,Premium show jump set with custom fillers and design elements.
Classic Show Jump Set 2,TJS_507RED,915,Traditional design show jump set with modern materials.
Classic Show Jump Set 1,TJS_506BLU,945,Classic style jump with contemporary construction.
Horseshoe Show Jump Set,TJS_505,965,Themed show jump set with lucky horseshoe design.
Pink Flowers Show Jump Set 2,TJS_504FIL2,1115,Decorative floral design jump set with multiple fillers.
Pink Flowers Show Jump Set 1,TJS_504FIL1,1110,Floral themed jump set with custom stands and fillers.
Horse Show Jump Set,TJS_503GAT,945,Horse-themed jump set with custom gate design.
Dog Show Jump Set,TJS_502FIL,1040,Dog-themed show jump set with custom fillers.
Cat Show Jump Set,TJS_501FIL,1040,Cat-themed show jump set with decorative elements.
Royal Flowers Show Jump Set,TJS_520,1645,Premium floral design show jump set.
Rainbow Show Jump Set 1,TJS_514FIL_PUR,1085,Colorful rainbow-themed jump set.
Wave Show Jump Set 1,TJS_513PLA,1010,Wave-pattern designed show jump set.
Butterfly Show Jump,TJS_515FIL,1110,Butterfly-themed complete jump set.
Candies Show Jump Set,TJS_517,1280,Candy-themed show jump set with custom elements.
Lucky Clover Show Jump Set 1,TJS_519A,1635,Premium clover-themed show jump set.
Bubbles Show Jump Set,TJS_512GAT,1150,Bubble-pattern designed show jump set.
Leaf Show Jump Set,TJS_509,1075,Nature-themed jump set with leaf design.
Mosaic Show Jump Stands (2),TPRS_301,880,Professional-grade stands with mosaic design pattern.
Royal Flowers Show Jump Stands (2),TPRS_303,1160,Premium stands with floral design elements.
Rainbow Show Jump Stands (2),TSS_305,650,Colorful rainbow-themed professional stands.
Bubbles Show Jump Stands (2),TSS_303,680,Bubble-pattern designed tournament stands.
Classic 2 Show Jump Stands (2),TBS_307RED,540,Traditional design professional stands.
Classic 1 Show Jump Stands (2),TBS_306BLU,540,Classic style tournament stands.
Horseshoes Show Jump Stands (2),TBS_305,640,Lucky horseshoe themed stands.
Pink Flowers Show Jump Stands (2),TBS_304,640,Floral design professional stands.
Horse Show Jump Stands (2),TBS_303,580,Horse-themed tournament stands.
Dog Show Jump Stands (2),TBS_302,580,Dog-themed professional stands.
Cat Show Jump Stands (2),TBS_301,580,Cat-themed tournament stands.
Wave Show Jump Stands (2),TSS_304,650,Wave-pattern designed stands.
Butterfly Show Jump Stands (2),TSS_306,580,Butterfly-themed professional stands.
Unicorn Show Jump Stands (2),TSS_301,680,Unicorn-themed tournament stands.
Candies Filler II,TPF_412B,75,Candy-themed decorative filler element.
Candies Filler I,TPF_412A,75,Alternative candy-themed filler design.
Butterfly Filler Style 1,TPF_411,75,Butterfly-pattern decorative filler.
Butterfly Filler Style 2,PGF_427,75,Alternative butterfly design filler.
Leaf Filler,TPF_407,100,Nature-themed leaf design filler.
Pink Flowers Filler,TPF_410,75,Floral design decorative filler.
Cat Filler,TPF_409,75,Cat-themed decorative element.
Dog Filler,TPF_408,75,Dog-themed decorative element.
Rainbow Filler,TPF_413,100,Colorful rainbow design filler.
Wave Filler,PGF_401,120,Wave-pattern decorative element.
Show Jumping Wall - Grey Castle Wall,Wall3,3500,Modern interpretation of castle wall design.
Show Jumping Wall - Castle Wall,Wall2,3500,Traditional castle wall with contemporary materials.
Show Jumping Wall - Castle,Wall1,2700,Classic wooden castle wall design.
Summer Tournament Show Jumps Package: Set B,STB_001B,2650,Complete tournament package with three distinct jumps.
Summer Tournament Show Jumps Package: Set A,STB_001A,2650,Alternative tournament package configuration.
Summer Tournament Show Jumps Package,STB_001,4999,Complete package combining both Set A and B.
Alu Training Wings Package,BTB_10002,2999,Comprehensive training kit with multiple components.
6 Jump Set Package,PAK6,3500,Complete package with six unique jumping sets.
Alu Training Wings Bundle Package,ALB_001_RED,808,Bundle package with three pairs of training wings.
Horse Jump Poles - 50 Pieces,WCP_802,2000,Set of 50 professional jump poles in various colors.
FEI-Certified Cups - 20 Piece Pack,ACC_705,100,Tournament-certified safety cups.
Start and Finish Kit,ACC_715,350,Professional start/finish marking system.
Marker Flags Kit,ACC_713,10,Standard red and white course marking flags.
Numbers Kit,ACC_714,250,Complete set of course number markers.
Liverpools,ACC_701,169.9,Water jump elements in various sizes.
